2024-05-17|20:15:23|Restaurant|Fish City Grill|87.54
2023-04-25|21:45:23|Purchase|Rincon Latino|-65.0
2023-04-12|18:30:55|Refund|Costco|45.67
2024-09-17|09:15:32|Taqueria|El Ranchero|24.68
2024-10-16|15:24:43|Zelle Payment|CJ Reyes Motor and Auto Repair, Irving, TX|340.0
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.5
2023-04-17|19:22:37|Service fee|CVS Pharmacy|-5.0
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.0
2023-04-16|11:20:48|Returned item|Shein|12.99
2024-08-19|13:21:43|Dessert|Paris Bakery|-23.67
2024-06-20|14:30:54|Organic Products|Whole Foods|-21.34
